5. January 2010 | 17:20:51 | - TeleportHack = 1
5. January 2010 | 17:20:51 | - MaxPing = 450
5. January 2010 | 17:20:51 | - SpectateHack = 1
5. January 2010 | 17:20:51 | - Blacklist = 1
5. January 2010 | 17:20:51 | - IpBans = 1
5. January 2010 | 17:20:51 | - TempBans = 1
5. January 2010 | 17:20:51 | - SpawnKill = 0
5. January 2010 | 17:20:51 | - CapsLock = 1
5. January 2010 | 17:20:51 | - 3DSpeed = 0
5. January 2010 | 17:20:51 | - MaxSpeed = 220
5. January 2010 | 17:20:51 | - AdminImmunity = 1
5. January 2010 | 17:20:51 | - Advertisement = 0
5. January 2010 | 17:20:51 | - FreezeUpdate = 0
5. January 2010 | 17:20:51 | - SpawnTime = 10
5. January 2010 | 17:20:51 | 1 IP-bans have been loaded.
5. January 2010 | 17:20:51 | 1 temporary bans have been loaded.
5. January 2010 | 17:20:51 | 2 whitelist entries have been loaded.
5. January 2010 | 17:20:51 | 4 blacklist entries have been loaded.
5. January 2010 | 17:20:51 | 41 bad words have been loaded.
5. January 2010 | 17:20:51 | 4 forbidden weapons have been loaded.
5. January 2010 | 17:20:51 | JunkBuster has been configurated.
5. January 2010 | 17:20:51 | JunkBuster has successfully been loaded.
5. January 2010 | 17:21:00 | Current JunkBuster configuration:
5. January 2010 | 17:21:00 | - WeaponHack = 1
5. January 2010 | 17:21:00 | - MoneyHack = 1
5. January 2010 | 17:21:00 | - Jetpack = 1
5. January 2010 | 17:21:00 | - HealthHack = 1
5. January 2010 | 17:21:00 | - ArmourHack = 1
5. January 2010 | 17:21:00 | - DriveBy = 1
5. January 2010 | 17:21:00 | - Spam = 1
5. January 2010 | 17:21:00 | - CommandSpam = 1
5. January 2010 | 17:21:00 | - BadWords = 0
5. January 2010 | 17:21:00 | - CarJackHack = 1
5. January 2010 | 17:21:00 | - TeleportHack = 1
5. January 2010 | 17:21:00 | - MaxPing = 450
5. January 2010 | 17:21:00 | - SpectateHack = 1
5. January 2010 | 17:21:00 | - Blacklist = 1
5. January 2010 | 17:21:00 | - IpBans = 1
5. January 2010 | 17:21:00 | - TempBans = 1
5. January 2010 | 17:21:00 | - SpawnKill = 0
5. January 2010 | 17:21:00 | - CapsLock = 1
5. January 2010 | 17:21:00 | - 3DSpeed = 0
5. January 2010 | 17:21:00 | - MaxSpeed = 220
5. January 2010 | 17:21:00 | - AdminImmunity = 1
5. January 2010 | 17:21:00 | - Advertisement = 0
5. January 2010 | 17:21:00 | - FreezeUpdate = 0
5. January 2010 | 17:21:00 | - SpawnTime = 10
5. January 2010 | 17:21:00 | 1 IP-bans have been loaded.
5. January 2010 | 17:21:00 | 1 temporary bans have been loaded.
5. January 2010 | 17:21:00 | 2 whitelist entries have been loaded.
5. January 2010 | 17:21:00 | 4 blacklist entries have been loaded.
5. January 2010 | 17:21:00 | 41 bad words have been loaded.
5. January 2010 | 17:21:00 | 4 forbidden weapons have been loaded.
5. January 2010 | 17:21:00 | JunkBuster has been configurated.
5. January 2010 | 17:21:00 | JunkBuster has successfully been loaded.
5. January 2010 | 17:21:47 | IP 94.9.63.18 has logged in as RCON-admin
5. January 2010 | 17:37:03 | IP 82.3.198.176 has logged in as RCON-admin
5. January 2010 | 17:51:50 | [AS]Falcode (77.250.82.3) has been kicked for Command spam.
5. January 2010 | 19:01:34 | Current JunkBuster configuration:
5. January 2010 | 19:01:34 | - WeaponHack = 1
5. January 2010 | 19:01:34 | - MoneyHack = 1
5. January 2010 | 19:01:34 | - Jetpack = 1
5. January 2010 | 19:01:34 | - HealthHack = 1
5. January 2010 | 19:01:34 | - ArmourHack = 1
5. January 2010 | 19:01:34 | - DriveBy = 1
5. January 2010 | 19:01:34 | - Spam = 1
5. January 2010 | 19:01:34 | - CommandSpam = 1
5. January 2010 | 19:01:34 | - BadWords = 0
5. January 2010 | 19:01:34 | - CarJackHack = 1
5. January 2010 | 19:01:34 | - TeleportHack = 1
5. January 2010 | 19:01:34 | - MaxPing = 450
5. January 2010 | 19:01:34 | - SpectateHack = 1
5. January 2010 | 19:01:34 | - Blacklist = 1
5. January 2010 | 19:01:34 | - IpBans = 1
5. January 2010 | 19:01:34 | - TempBans = 1
5. January 2010 | 19:01:34 | - SpawnKill = 0
5. January 2010 | 19:01:34 | - CapsLock = 1
5. January 2010 | 19:01:34 | - 3DSpeed = 0
5. January 2010 | 19:01:34 | - MaxSpeed = 220
5. January 2010 | 19:01:34 | - AdminImmunity = 1
5. January 2010 | 19:01:34 | - Advertisement = 0
5. January 2010 | 19:01:34 | - FreezeUpdate = 0
5. January 2010 | 19:01:34 | - SpawnTime = 10
5. January 2010 | 19:01:34 | 1 IP-bans have been loaded.
5. January 2010 | 19:01:34 | 1 temporary bans have been loaded.
5. January 2010 | 19:01:34 | 2 whitelist entries have been loaded.
5. January 2010 | 19:01:34 | 4 blacklist entries have been loaded.
5. January 2010 | 19:01:34 | 41 bad words have been loaded.
5. January 2010 | 19:01:34 | 4 forbidden weapons have been loaded.
5. January 2010 | 19:01:34 | JunkBuster has been configurated.
5. January 2010 | 19:01:34 | JunkBuster has successfully been loaded.
5. January 2010 | 19:01:52 | Current JunkBuster configuration:
5. January 2010 | 19:01:52 | - WeaponHack = 1
5. January 2010 | 19:01:52 | - MoneyHack = 1
5. January 2010 | 19:01:52 | - Jetpack = 1
5. January 2010 | 19:01:52 | - HealthHack = 1
5. January 2010 | 19:01:52 | - ArmourHack = 1
5. January 2010 | 19:01:52 | - DriveBy = 1
5. January 2010 | 19:01:52 | - Spam = 1
5. January 2010 | 19:01:52 | - CommandSpam = 1
5. January 2010 | 19:01:52 | - BadWords = 0
5. January 2010 | 19:01:52 | - CarJackHack = 1
5. January 2010 | 19:01:52 | - TeleportHack = 1
5. January 2010 | 19:01:52 | - MaxPing = 450
5. January 2010 | 19:01:52 | - SpectateHack = 1
5. January 2010 | 19:01:52 | - Blacklist = 1
5. January 2010 | 19:01:52 | - IpBans = 1
5. January 2010 | 19:01:52 | - TempBans = 1
5. January 2010 | 19:01:52 | - SpawnKill = 0
5. January 2010 | 19:01:52 | - CapsLock = 1
5. January 2010 | 19:01:52 | - 3DSpeed = 0
5. January 2010 | 19:01:52 | - MaxSpeed = 220
5. January 2010 | 19:01:52 | - AdminImmunity = 1
5. January 2010 | 19:01:52 | - Advertisement = 0
5. January 2010 | 19:01:52 | - FreezeUpdate = 0
5. January 2010 | 19:01:52 | - SpawnTime = 10
5. January 2010 | 19:01:52 | 1 IP-bans have been loaded.
5. January 2010 | 19:01:52 | 1 temporary bans have been loaded.
5. January 2010 | 19:01:52 | 2 whitelist entries have been loaded.
5. January 2010 | 19:01:52 | 4 blacklist entries have been loaded.
5. January 2010 | 19:01:52 | 41 bad words have been loaded.
5. January 2010 | 19:01:52 | 4 forbidden weapons have been loaded.
5. January 2010 | 19:01:52 | JunkBuster has been configurated.
5. January 2010 | 19:01:52 | JunkBuster has successfully been loaded.
5. January 2010 | 19:07:56 | Current JunkBuster configuration:
